epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,14916.7,0.663,2.97626,0.25499,0.4179,1.09257,0.97075,0.9804,0.99115,0.90268,0.86653,0.84183,0.85458,0.71357,0.53533,1.839,0.04841,0.26972,0.9717,0.005446,0.005446,0.005446
48,15237.3,0.66412,2.96836,0.25417,0.41701,1.09255,0.96987,0.98133,0.99121,0.90319,0.86736,0.84439,0.8561,0.7153,0.53484,1.83063,0.04806,0.26858,0.97122,0.005347,0.005347,0.005347
49,15558.7,0.65398,2.92936,0.25147,0.40709,1.08742,0.97073,0.98133,0.99125,0.9031,0.86464,0.84529,0.85552,0.71547,0.53395,1.82775,0.04794,0.26821,0.97039,0.005248,0.005248,0.005248
50,15881.5,0.64815,2.89187,0.25233,0.40483,1.08637,0.97158,0.98105,0.99122,0.90309,0.86675,0.84836,0.86011,0.71629,0.53289,1.81788,0.04745,0.26628,0.96948,0.005149,0.005149,0.005149
51,16202.9,0.64947,2.87218,0.24979,0.40655,1.08637,0.97257,0.98089,0.99127,0.90342,0.86844,0.84939,0.8617,0.71792,0.53169,1.80923,0.04701,0.26536,0.96855,0.00505,0.00505,0.00505
52,16526.7,0.65182,2.88526,0.24627,0.40702,1.08468,0.97206,0.98092,0.99124,0.9038,0.86912,0.85105,0.863,0.71964,0.53078,1.80273,0.04677,0.26463,0.96799,0.004951,0.004951,0.004951
53,16851.1,0.64616,2.83655,0.2444,0.40046,1.08138,0.97146,0.98094,0.99127,0.90443,0.86755,0.8499,0.86294,0.72137,0.52995,1.80366,0.04646,0.26385,0.96709,0.004852,0.004852,0.004852
54,17175,0.6468,2.82762,0.24346,0.40207,1.08343,0.9727,0.98106,0.99136,0.90448,0.86898,0.84861,0.86279,0.72175,0.52938,1.79899,0.04613,0.26377,0.96673,0.004753,0.004753,0.004753
55,17498.8,0.64165,2.81378,0.24459,0.39951,1.08232,0.97283,0.98169,0.9914,0.90444,0.86941,0.84838,0.86293,0.72258,0.52824,1.79632,0.0458,0.26321,0.96594,0.004654,0.004654,0.004654
56,17822.6,0.64074,2.80837,0.24121,0.39576,1.07901,0.97321,0.98166,0.9914,0.90484,0.87014,0.84877,0.86408,0.72409,0.52764,1.79184,0.04536,0.26278,0.96561,0.004555,0.004555,0.004555
57,18146.4,0.63671,2.79163,0.2416,0.39587,1.07747,0.97282,0.98117,0.99132,0.90524,0.8708,0.8481,0.86407,0.72467,0.52717,1.78771,0.04521,0.26185,0.96495,0.004456,0.004456,0.004456
58,18469.6,0.63536,2.74774,0.23918,0.39138,1.07761,0.97295,0.98106,0.99133,0.9057,0.87176,0.84836,0.86497,0.72601,0.52609,1.78308,0.04506,0.26107,0.96418,0.004357,0.004357,0.004357
59,18792.7,0.6326,2.7667,0.24104,0.39264,1.07512,0.97359,0.98066,0.9913,0.90607,0.87164,0.8488,0.86468,0.72678,0.52536,1.78015,0.04491,0.26034,0.96376,0.004258,0.004258,0.004258
60,19115.6,0.63371,2.72098,0.23847,0.38892,1.07632,0.97406,0.98028,0.99131,0.90614,0.8729,0.85028,0.86562,0.72722,0.5246,1.7749,0.04461,0.25955,0.96322,0.004159,0.004159,0.004159
61,19438,0.63225,2.71781,0.238,0.38983,1.07694,0.97376,0.98053,0.99128,0.90719,0.87305,0.84992,0.86589,0.72784,0.52423,1.77142,0.04446,0.25896,0.96305,0.00406,0.00406,0.00406
62,19759.9,0.63031,2.71259,0.23773,0.38824,1.07256,0.97351,0.98053,0.99126,0.90669,0.87378,0.85041,0.86655,0.72847,0.52381,1.76798,0.04441,0.25885,0.96276,0.003961,0.003961,0.003961
63,20082,0.62766,2.70871,0.23659,0.38583,1.07405,0.97359,0.98053,0.99127,0.90717,0.8747,0.85115,0.86708,0.72929,0.52305,1.76308,0.0443,0.25833,0.96222,0.003862,0.003862,0.003862
64,20404.3,0.62561,2.68517,0.23378,0.38212,1.07402,0.9739,0.98053,0.99123,0.90656,0.87557,0.85167,0.86736,0.72963,0.52247,1.75863,0.04419,0.2584,0.96176,0.003763,0.003763,0.003763
65,20726.4,0.62034,2.6445,0.23322,0.38394,1.06932,0.97359,0.98053,0.99126,0.90669,0.87558,0.85264,0.86744,0.73017,0.52209,1.75504,0.04406,0.25786,0.96157,0.003664,0.003664,0.003664
66,21050.6,0.62108,2.63446,0.23242,0.38118,1.0696,0.97306,0.98053,0.99129,0.90728,0.87524,0.85284,0.86742,0.73057,0.52121,1.75279,0.04384,0.25736,0.96088,0.003565,0.003565,0.003565
67,21372.5,0.61693,2.6368,0.23294,0.38462,1.07008,0.97318,0.98065,0.99136,0.9074,0.87576,0.85323,0.86727,0.73036,0.52057,1.7488,0.04369,0.25695,0.96033,0.003466,0.003466,0.003466
68,21694.4,0.61305,2.60161,0.2319,0.37852,1.06507,0.97322,0.98105,0.99137,0.90733,0.87607,0.85336,0.86757,0.73058,0.51998,1.74525,0.04361,0.25664,0.95985,0.003367,0.003367,0.003367
69,22018.3,0.61119,2.58444,0.23208,0.37825,1.06634,0.97319,0.98076,0.99136,0.90785,0.87651,0.85359,0.86785,0.73192,0.51944,1.74144,0.0435,0.25633,0.95948,0.003268,0.003268,0.003268
70,22342,0.61218,2.54478,0.22934,0.37315,1.06379,0.97368,0.98063,0.99139,0.90778,0.87615,0.8544,0.86779,0.73212,0.5189,1.73804,0.04338,0.25591,0.95913,0.003169,0.003169,0.003169
71,22666.6,0.60894,2.55227,0.22899,0.37194,1.06522,0.97356,0.98071,0.99141,0.90812,0.87733,0.85549,0.86836,0.73254,0.51818,1.73497,0.04318,0.25526,0.95853,0.00307,0.00307,0.00307
72,22991.2,0.60353,2.51963,0.22736,0.37025,1.06242,0.9736,0.98066,0.99139,0.90811,0.87748,0.8554,0.8685,0.7335,0.51753,1.73138,0.04297,0.25512,0.95793,0.002971,0.002971,0.002971
73,23317,0.60399,2.50961,0.22703,0.3725,1.06064,0.97392,0.98052,0.9914,0.90846,0.87701,0.85515,0.86868,0.73403,0.51706,1.7278,0.04282,0.25489,0.9576,0.002872,0.002872,0.002872
74,23642.2,0.60376,2.50672,0.22622,0.37241,1.06116,0.97379,0.98029,0.99139,0.90837,0.87793,0.85605,0.87021,0.73489,0.51653,1.72459,0.04263,0.2547,0.95716,0.002773,0.002773,0.002773
75,23967.5,0.5989,2.47327,0.22534,0.36507,1.05867,0.97404,0.98032,0.99138,0.90845,0.87786,0.8563,0.87112,0.7357,0.51613,1.72117,0.0425,0.25406,0.95697,0.002674,0.002674,0.002674
76,24292.2,0.59911,2.45318,0.2248,0.36792,1.05972,0.97392,0.9803,0.9914,0.90861,0.87786,0.8561,0.87148,0.73618,0.51569,1.71787,0.04233,0.2538,0.95669,0.002575,0.002575,0.002575
77,24617.3,0.59319,2.42862,0.22289,0.36507,1.0564,0.97392,0.98058,0.99139,0.90869,0.87869,0.85716,0.87361,0.73761,0.51505,1.71418,0.04223,0.25366,0.95622,0.002476,0.002476,0.002476
78,24941.4,0.59361,2.42704,0.22183,0.36365,1.05701,0.97396,0.98053,0.99143,0.90872,0.87863,0.85707,0.87352,0.73787,0.51433,1.71139,0.04213,0.25337,0.95566,0.002377,0.002377,0.002377
79,25265.7,0.59116,2.40337,0.22058,0.35814,1.05327,0.97466,0.98027,0.99145,0.90904,0.87937,0.85802,0.87412,0.73842,0.5137,1.70807,0.042,0.25301,0.95519,0.002278,0.002278,0.002278
80,25589.9,0.58796,2.37842,0.2192,0.3608,1.05266,0.97516,0.98026,0.99145,0.90947,0.88001,0.85755,0.87447,0.7388,0.51316,1.70468,0.0419,0.25279,0.95456,0.002179,0.002179,0.002179
81,25914.2,0.5881,2.36353,0.21912,0.35795,1.05492,0.97525,0.98015,0.99146,0.90972,0.88004,0.85758,0.87497,0.73927,0.5126,1.70151,0.04181,0.25242,0.95409,0.00208,0.00208,0.00208
82,26238.8,0.58569,2.36465,0.21863,0.35725,1.05167,0.97552,0.98001,0.99145,0.90966,0.87978,0.85755,0.87514,0.74003,0.51206,1.69832,0.04176,0.2519,0.95363,0.001981,0.001981,0.001981
83,26562.5,0.5805,2.35365,0.21881,0.35314,1.04969,0.97567,0.97976,0.99145,0.90997,0.88096,0.85809,0.876,0.74099,0.5114,1.69462,0.04172,0.25164,0.95309,0.001882,0.001882,0.001882
